 ,Orden del país,Trimestre,Año(aaaa)-Trimestre(t),Año(aaaa),Clasificación inversión directa,Descripción tipo inversión directa,Valor anual,Estado de la información,Periodicidad de la información
Bermudas,14,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"162,942229190334",Definitivo,Trimestral
Bolivia,15,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"1,07230271400953",Definitivo,Trimestral
Brasil,16,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"15,0648215927952",Definitivo,Trimestral
Bélgica,12,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,37709889229967",Definitivo,Trimestral
Canadá,17,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"22,8968801905756",Definitivo,Trimestral
Chile,18,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"52,5936106021732",Definitivo,Trimestral
China,19,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"-0,314519032642018",Definitivo,Trimestral
Chipre,21,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"1,24",Definitivo,Trimestral
Corea del Sur,20,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"1,2630414872462",Definitivo,Trimestral
Costa Rica,22,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"6,77264337280884",Definitivo,Trimestral
Cuba,23,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Curazao,24,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,861993075431116",Definitivo,Trimestral
Dinamarca,25,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,109254420303794",Definitivo,Trimestral
Ecuador,26,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"1,04731526892405",Definitivo,Trimestral
El Salvador,27,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,038056",Definitivo,Trimestral
Escocia,28,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,001392",Definitivo,Trimestral
España,29,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"993,5540863437",Definitivo,Trimestral
Estados Unidos,30,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"548,495684596836",Definitivo,Trimestral
Finlandia,31,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Francia,32,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"9,19973649594061",Definitivo,Trimestral
Gibraltar,33,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,46",Definitivo,Trimestral
Grecia,34,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,9847805",Definitivo,Trimestral
Guatemala,35,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,07265",Definitivo,Trimestral
Honduras,36,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,155",Definitivo,Trimestral
Hong Kong,37,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,0435",Definitivo,Trimestral
Hungría,38,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
India,41,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,838835316957564",Definitivo,Trimestral
Inglaterra,42,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"319,39103202077",Definitivo,Trimestral
Irlanda⁴,45,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,852522276586282",Definitivo,Trimestral
Irán,44,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,006",Definitivo,Trimestral
Isla de Man,46,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Islas Caimán,39,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"56,8579717202389",Definitivo,Trimestral
Islas Vírgenes Británicas,40,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"18,39789515007",Definitivo,Trimestral
Israel,47,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,352471033683833",Definitivo,Trimestral
Italia,48,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"2,47659830118927",Definitivo,Trimestral
Japón,49,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"2,88033900197436",Definitivo,Trimestral
Jordania,50,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Kuwait,51,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Liberia,53,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Liechtenstein,54,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Lituania,55,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,04847",Definitivo,Trimestral
Luxemburgo,56,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"7,32418363954115",Definitivo,Trimestral
Líbano,52,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Malasia,57,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,0009",Definitivo,Trimestral
México,58,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"-780,288348714834",Definitivo,Trimestral
Nicaragua,59,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Noruega,60,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"6,12140176608749",Definitivo,Trimestral
Nueva Zelanda,61,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Otros Países,81,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"-2,39467741017233",Definitivo,Trimestral
Panamá,63,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"172,565134769382",Definitivo,Trimestral
Paraguay,64,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,025",Definitivo,Trimestral
Países Bajos,62,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"89,5442023469381",Definitivo,Trimestral
Perú,65,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"7,4913891514939",Definitivo,Trimestral
Portugal,66,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,419774710618178",Definitivo,Trimestral
Puerto Rico,67,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"6,1086777",Definitivo,Trimestral
República Dominicana,69,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"-0,14732367850122",Definitivo,Trimestral
Singapur,70,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"-0,015585833423161",Definitivo,Trimestral
Sri Lanka,71,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Sudáfrica,74,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Suecia,72,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"17,5232561206268",Definitivo,Trimestral
Suiza,73,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"25,5140759106519",Definitivo,Trimestral
Tailandia,75,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,047",Definitivo,Trimestral
Taiwán,76,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"0,235",Definitivo,Trimestral
Total paises,82,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"1959,09002788733",Definitivo,Trimestral
Ucrania,77,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Uruguay,78,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"5,53322068152356",Definitivo,Trimestral
Venezuela,79,3,2009-3,2009,Países,Inversión Extranjera Directa en Colombia,"23,4292619125937",Definitivo,Trimestral
Afganistán,1,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Albania,2,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Alemania,3,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"-32,9471507384964",Definitivo,Trimestral
Anguilla,4,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"458,214855422282",Definitivo,Trimestral
Antillas Holandesas,5,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"6,71448408767546",Definitivo,Trimestral
Argentina,6,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,424394816155633",Definitivo,Trimestral
Aruba,7,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,806212897268903",Definitivo,Trimestral
Australia,8,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"34,0402050582552",Definitivo,Trimestral
Austria,9,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"3,54822274648111",Definitivo,Trimestral
Bahamas,10,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"2,67323289801312",Definitivo,Trimestral
Barbados,11,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"22,687107199566",Definitivo,Trimestral
Belice,13,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,43747826",Definitivo,Trimestral
Bermudas,14,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"90,4691976013952",Definitivo,Trimestral
Bolivia,15,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"-0,4843233847506",Definitivo,Trimestral
Brasil,16,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"15,0782578179657",Definitivo,Trimestral
Bélgica,12,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"1,05503584954451",Definitivo,Trimestral
Canadá,17,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"20,5287363926383",Definitivo,Trimestral
Chile,18,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"34,0805445437371",Definitivo,Trimestral
China,19,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"-0,938480157518969",Definitivo,Trimestral
Chipre,21,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"1,109627",Definitivo,Trimestral
Corea del Sur,20,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,726630624708841",Definitivo,Trimestral
Costa Rica,22,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"2,23551243818214",Definitivo,Trimestral
Cuba,23,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Curazao,24,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,345545449973995",Definitivo,Trimestral
Dinamarca,25,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,35516002332986",Definitivo,Trimestral
Ecuador,26,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,97326390509554",Definitivo,Trimestral
El Salvador,27,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,3025608",Definitivo,Trimestral
Escocia,28,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,001392",Definitivo,Trimestral
España,29,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"106,393153316137",Definitivo,Trimestral
Estados Unidos,30,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"838,473133964589",Definitivo,Trimestral
Finlandia,31,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Francia,32,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"23,4847214362323",Definitivo,Trimestral
Gibraltar,33,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Grecia,34,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Guatemala,35,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,099604",Definitivo,Trimestral
Honduras,36,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,1135",Definitivo,Trimestral
Hong Kong,37,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Hungría,38,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
India,41,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,215376931829246",Definitivo,Trimestral
Inglaterra,42,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"453,059226382838",Definitivo,Trimestral
Irlanda⁴,45,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,872340981897834",Definitivo,Trimestral
Irán,44,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Isla de Man,46,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Islas Caimán,39,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"69,0503492589813",Definitivo,Trimestral
Islas Vírgenes Británicas,40,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"21,7973018558376",Definitivo,Trimestral
Israel,47,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"1,50530148464339",Definitivo,Trimestral
Italia,48,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"3,22641345806621",Definitivo,Trimestral
Japón,49,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"4,34443104576649",Definitivo,Trimestral
Jordania,50,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Kuwait,51,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Liberia,53,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Liechtenstein,54,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,10082918",Definitivo,Trimestral
Lituania,55,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Luxemburgo,56,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"14,3562158145687",Definitivo,Trimestral
Líbano,52,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Malasia,57,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,00048",Definitivo,Trimestral
México,58,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"149,997877456599",Definitivo,Trimestral
Nicaragua,59,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"0,03",Definitivo,Trimestral
Noruega,60,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"6,58307959160176",Definitivo,Trimestral
Nueva Zelanda,61,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Otros Países,81,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"-7,63046531010968",Definitivo,Trimestral
Panamá,63,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"175,670504470813",Definitivo,Trimestral
Paraguay,64,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Países Bajos,62,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"178,128887248734",Definitivo,Trimestral
Perú,65,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"5,46030552383886",Definitivo,Trimestral
Portugal,66,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Puerto Rico,67,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"1,03302656",Definitivo,Trimestral
República Dominicana,69,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"-0,030571686244485",Definitivo,Trimestral
Singapur,70,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"-0,021924616233935",Definitivo,Trimestral
Sri Lanka,71,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Sudáfrica,74,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Suecia,72,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"7,83896245668984",Definitivo,Trimestral
Suiza,73,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"59,7540129983774",Definitivo,Trimestral
Tailandia,75,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Taiwán,76,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Total paises,82,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"2789,68843317211",Definitivo,Trimestral
Ucrania,77,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Uruguay,78,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"3,11983580477706",Definitivo,Trimestral
Venezuela,79,2,2009-2,2009,Países,Inversión Extranjera Directa en Colombia,"10,2248200103794",Definitivo,Trimestral
Afganistán,1,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Albania,2,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Alemania,3,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,332034967560042",Definitivo,Trimestral
Anguilla,4,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"131,009799022143",Definitivo,Trimestral
Antillas Holandesas,5,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"6,95422726537574",Definitivo,Trimestral
Argentina,6,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"1,66855951755088",Definitivo,Trimestral
Aruba,7,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,206849198909364",Definitivo,Trimestral
Australia,8,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,393320938652716",Definitivo,Trimestral
Austria,9,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"7,21162415972413",Definitivo,Trimestral
Bahamas,10,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"5,21482088301244",Definitivo,Trimestral
Barbados,11,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"25,1543293040866",Definitivo,Trimestral
Belice,13,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,34814011",Definitivo,Trimestral
Bermudas,14,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"256,031402761118",Definitivo,Trimestral
Bolivia,15,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,316258715749788",Definitivo,Trimestral
Brasil,16,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"6,00897593392901",Definitivo,Trimestral
Bélgica,12,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,806093815524735",Definitivo,Trimestral
Canadá,17,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"23,4236805217622",Definitivo,Trimestral
Chile,18,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"10,7696408490034",Definitivo,Trimestral
China,19,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"-1,22861328419867",Definitivo,Trimestral
Chipre,21,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"1,469871",Definitivo,Trimestral
Corea del Sur,20,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,61758683514626",Definitivo,Trimestral
Costa Rica,22,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"6,46935537071427",Definitivo,Trimestral
Cuba,23,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Curazao,24,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,277659023286733",Definitivo,Trimestral
Dinamarca,25,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,268368981408789",Definitivo,Trimestral
Ecuador,26,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"-3,90798000137918",Definitivo,Trimestral
El Salvador,27,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,067681",Definitivo,Trimestral
Escocia,28,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,001",Definitivo,Trimestral
España,29,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"379,777869837783",Definitivo,Trimestral
Estados Unidos,30,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"466,502617046557",Definitivo,Trimestral
Finlandia,31,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,03218",Definitivo,Trimestral
Francia,32,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"10,735558673778",Definitivo,Trimestral
Gibraltar,33,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Grecia,34,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"1,25878",Definitivo,Trimestral
Guatemala,35,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,04488359",Definitivo,Trimestral
Honduras,36,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,2674677",Definitivo,Trimestral
Hong Kong,37,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,025",Definitivo,Trimestral
Hungría,38,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
India,41,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,184349021736633",Definitivo,Trimestral
Inglaterra,42,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"267,394686609069",Definitivo,Trimestral
Irlanda⁴,45,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,548162537159377",Definitivo,Trimestral
Irán,44,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Isla de Man,46,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Islas Caimán,39,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"42,5709039010925",Definitivo,Trimestral
Islas Vírgenes Británicas,40,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"18,7674394403205",Definitivo,Trimestral
Israel,47,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,106215714200462",Definitivo,Trimestral
Italia,48,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"5,62999993851976",Definitivo,Trimestral
Japón,49,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"3,37242889228763",Definitivo,Trimestral
Jordania,50,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Kuwait,51,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Liberia,53,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Liechtenstein,54,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Lituania,55,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Luxemburgo,56,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"97,520624552875",Definitivo,Trimestral
Líbano,52,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,019972",Definitivo,Trimestral
Malasia,57,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,000983",Definitivo,Trimestral
México,58,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"100,714824698792",Definitivo,Trimestral
Nicaragua,59,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,075",Definitivo,Trimestral
Noruega,60,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"4,13110120361976",Definitivo,Trimestral
Nueva Zelanda,61,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,05853659",Definitivo,Trimestral
Otros Países,81,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"-3,96504285507581",Definitivo,Trimestral
Panamá,63,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"242,570898346458",Definitivo,Trimestral
Paraguay,64,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Países Bajos,62,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"115,594107761952",Definitivo,Trimestral
Perú,65,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"3,27881305367452",Definitivo,Trimestral
Portugal,66,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Puerto Rico,67,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"0,15533042",Definitivo,Trimestral
República Dominicana,69,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"-0,016800381548042",Definitivo,Trimestral
Singapur,70,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"-0,015675038196215",Definitivo,Trimestral
Sri Lanka,71,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Sudáfrica,74,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Suecia,72,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"5,80726122757953",Definitivo,Trimestral
Suiza,73,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"28,8916180805278",Definitivo,Trimestral
Tailandia,75,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Taiwán,76,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Total paises,82,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"2289,8999128831",Definitivo,Trimestral
Ucrania,77,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Uruguay,78,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"5,29783159723934",Definitivo,Trimestral
Venezuela,79,1,2009-1,2009,Países,Inversión Extranjera Directa en Colombia,"12,6772988336166",Definitivo,Trimestral
Afganistán,1,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"3,568902",Definitivo,Anual
Afganistán,1,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Albania,2,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Albania,2,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Alemania,3,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"99,3051841568913",Definitivo,Anual
Alemania,3,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"9,58485801203911",Definitivo,Trimestral
Anguilla,4,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"1224,08120012341",Definitivo,Anual
Anguilla,4,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"194,533543518063",Definitivo,Trimestral
Antillas Holandesas,5,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"34,8786112329358",Definitivo,Anual
Antillas Holandesas,5,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"28,0695229635336",Definitivo,Trimestral
Argentina,6,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"5,40716158619253",Definitivo,Anual
Argentina,6,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"-0,086400429457783",Definitivo,Trimestral
Aruba,7,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"0,124001697053285",Definitivo,Anual
Aruba,7,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"-0,133665714445204",Definitivo,Trimestral
Australia,8,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"1,97000415483772",Definitivo,Anual
Australia,8,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"-0,056604204313165",Definitivo,Trimestral
Austria,9,4,2008-4,2008,Países,Inversión Extranjera Directa en Colombia,"9,93220466223277",Definitivo,Anual
